Results - based on chains 2 & 3 only as evidence of non-convergence with chain 1
30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[2,59]	0.1757	0.1572	0.001195	0.1438	0.3372	210000
	S[2,60]	0.173	0.1575	0.00116	0.1401	0.3361	210000
	S[2,61]	0.1704	0.1577	0.001291	0.1366	0.3352	210000
	S[2,62]	0.1679	0.158	0.001194	0.1332	0.3285	210000
	S[2,63]	0.1654	0.1583	0.001174	0.1299	0.3254	210000
	S[2,64]	0.163	0.1585	0.001089	0.1266	0.3205	210000
	S[2,65]	0.1607	0.1588	0.001348	0.1235	0.3151	210000
	S[2,66]	0.1584	0.159	0.001143	0.1205	0.3138	210000
	S[2,67]	0.1562	0.1593	0.001427	0.1175	0.3109	210000
	S[2,68]	0.1541	0.1595	0.001425	0.1145	0.308	210000
	S[2,69]	0.152	0.1598	0.001261	0.1117	0.3073	210000
	S[2,70]	0.1499	0.16	0.001204	0.109	0.3044	210000
	S[2,71]	0.1479	0.1603	0.001341	0.1063	0.3048	210000
	S[2,72]	0.146	0.1605	0.00124	0.1038	0.3035	210000
	S[2,73]	0.1441	0.1608	0.001312	0.1012	0.3022	210000
	S[2,74]	0.1423	0.161	0.001294	0.09868	0.2953	210000
	S[2,75]	0.1405	0.1612	0.001187	0.09631	0.2878	210000
	S[2,76]	0.1388	0.1615	0.001206	0.09392	0.2878	210000
	S[2,77]	0.1371	0.1617	0.001396	0.09163	0.2826	210000
	S[2,78]	0.1355	0.1619	0.001406	0.08939	0.2799	210000
	S[2,79]	0.1339	0.1621	0.001089	0.08719	0.2801	210000
	S[2,80]	0.1323	0.1623	0.001529	0.08501	0.2719	210000
	S[2,81]	0.1308	0.1625	0.00155	0.08294	0.2694	210000
	S[2,82]	0.1293	0.1627	0.001323	0.08091	0.2685	210000
	S[2,83]	0.1278	0.1629	0.001218	0.07895	0.2663	210000
	S[2,84]	0.1264	0.1631	0.001384	0.07705	0.2656	210000
	S[2,85]	0.125	0.1633	0.001153	0.0752	0.2645	210000
	S[2,86]	0.1237	0.1635	0.001261	0.07336	0.2605	210000
	S[2,87]	0.1224	0.1637	0.001126	0.07158	0.2586	210000
	S[2,88]	0.1211	0.1638	0.001421	0.06987	0.2565	210000
	S[2,89]	0.1199	0.164	0.001103	0.0682	0.256	210000
	S[2,90]	0.1187	0.1642	0.00109	0.06656	0.2543	210000
	S[2,91]	0.1175	0.1643	0.001204	0.06499	0.2585	210000
	S[2,92]	0.1163	0.1645	0.001425	0.06342	0.2597	210000
	S[2,93]	0.1152	0.1646	0.001361	0.06188	0.2544	210000
	S[2,94]	0.1141	0.1648	0.001309	0.06041	0.2501	210000
	S[2,95]	0.113	0.1649	0.001079	0.05894	0.2433	210000
	S[2,96]	0.112	0.165	0.001082	0.05753	0.2399	210000
	S[2,97]	0.111	0.1652	0.001216	0.05617	0.238	210000
	S[2,98]	0.11	0.1653	0.001378	0.05487	0.2356	210000
	S[2,99]	0.109	0.1654	0.001358	0.05357	0.2333	210000
	S[2,100]	0.1081	0.1655	0.001258	0.05231	0.2303	210000
	S[2,101]	0.1071	0.1656	0.001133	0.05107	0.2433	210000
	S[2,102]	0.1062	0.1657	0.001376	0.04988	0.2406	210000
	S[2,103]	0.1053	0.1658	0.001205	0.04868	0.2407	210000
	S[2,104]	0.1045	0.1659	0.001136	0.04749	0.2405	210000
	S[2,105]	0.1036	0.166	0.001428	0.04637	0.2393	210000
	S[2,106]	0.1028	0.1661	0.001229	0.04527	0.2368	210000
	S[2,107]	0.102	0.1662	0.001137	0.0442	0.237	210000
	S[2,108]	0.1012	0.1663	0.001395	0.04315	0.2356	210000
	S[2,109]	0.1005	0.1663	0.001212	0.04212	0.233	210000
	S[2,110]	0.09972	0.1664	0.001163	0.04113	0.23	210000
	S[2,111]	0.09899	0.1665	0.001157	0.04017	0.2302	210000
	S[2,112]	0.09827	0.1666	0.001165	0.03925	0.2283	210000
	S[2,113]	0.09757	0.1666	0.001295	0.03831	0.2268	210000
	S[2,114]	0.09689	0.1667	0.001473	0.03742	0.2211	210000
	S[2,115]	0.09623	0.1667	0.001508	0.03657	0.2189	210000
	S[2,116]	0.09558	0.1668	0.001291	0.03573	0.2158	210000
	S[2,117]	0.09494	0.1668	0.001359	0.03488	0.2159	210000
	S[2,118]	0.09432	0.1669	0.001381	0.03408	0.2162	210000
	S[2,119]	0.09371	0.1669	0.001399	0.03329	0.2154	210000
	S[2,120]	0.09312	0.167	0.001366	0.03251	0.2141	210000
	S[3,1]	0.736	0.3236	0.002549	0.9037	0.9647	210000
	S[3,2]	0.6991	0.3093	0.002537	0.8535	0.9356	210000
	S[3,3]	0.6726	0.2971	0.002533	0.8163	0.9105	210000
	S[3,4]	0.6505	0.2866	0.002531	0.7856	0.8878	210000
	S[3,5]	0.6311	0.2772	0.00253	0.7588	0.8668	210000
	S[3,6]	0.6135	0.2688	0.002531	0.7346	0.8478	210000
	S[3,7]	0.5973	0.261	0.00253	0.7123	0.8296	210000
	S[3,8]	0.5822	0.2538	0.002531	0.6913	0.8131	210000
	S[3,9]	0.5681	0.2472	0.002531	0.6718	0.7972	210000
	S[3,10]	0.5547	0.241	0.002531	0.6532	0.7814	210000
	S[3,11]	0.5419	0.2353	0.002531	0.6354	0.7664	210000
	S[3,12]	0.5298	0.2299	0.00253	0.6185	0.7536	210000
	S[3,13]	0.5182	0.2249	0.002531	0.6027	0.7406	210000
	S[3,14]	0.5071	0.2202	0.002531	0.5873	0.7274	210000
	S[3,15]	0.4964	0.2157	0.002531	0.5724	0.7158	210000
	S[3,16]	0.4861	0.2116	0.002531	0.558	0.7043	210000
	S[3,17]	0.4762	0.2078	0.002531	0.5444	0.6945	210000
	S[3,18]	0.4666	0.2042	0.002531	0.5308	0.6855	210000
	S[3,19]	0.4574	0.2008	0.002531	0.5178	0.6742	210000
	S[3,20]	0.4485	0.1976	0.002531	0.5052	0.6645	210000
	S[3,21]	0.4398	0.1947	0.002531	0.4928	0.6532	210000
	S[3,22]	0.4315	0.192	0.002187	0.481	0.6457	210000
	S[3,23]	0.4234	0.1894	0.00135	0.4696	0.6388	210000
	S[3,24]	0.4155	0.1871	0.002531	0.4585	0.6309	210000
	S[3,25]	0.4079	0.1849	0.002531	0.4482	0.6203	210000
	S[3,26]	0.4005	0.1829	0.00253	0.4377	0.6124	210000
	S[3,27]	0.3933	0.181	0.002531	0.4279	0.6051	210000
	S[3,28]	0.3863	0.1793	0.002531	0.418	0.5973	210000
	S[3,29]	0.3795	0.1777	0.002531	0.4087	0.5908	210000
	S[3,30]	0.3729	0.1762	0.002531	0.3995	0.5857	210000
	S[3,31]	0.3665	0.1749	0.002531	0.3907	0.584	210000
	S[3,32]	0.3602	0.1737	0.002531	0.3821	0.5755	210000
	S[3,33]	0.3541	0.1726	0.002531	0.3737	0.5662	210000
	S[3,34]	0.3482	0.1716	0.002531	0.3655	0.5623	210000
	S[3,35]	0.3424	0.1707	0.002531	0.3574	0.5533	210000
	S[3,36]	0.3368	0.1699	0.002531	0.3498	0.5444	210000
	S[3,37]	0.3314	0.1691	0.00253	0.3422	0.5373	210000
	S[3,38]	0.326	0.1685	0.002531	0.3348	0.5303	210000
	S[3,39]	0.3208	0.1679	0.002531	0.3276	0.5225	210000
	S[3,40]	0.3157	0.1674	0.002531	0.3207	0.5199	210000
	S[3,41]	0.3108	0.167	0.002531	0.3139	0.5172	210000
	S[3,42]	0.306	0.1666	0.002531	0.3072	0.5099	210000
	S[3,43]	0.3013	0.1663	0.002531	0.3007	0.5002	210000
	S[3,44]	0.2967	0.1661	0.002531	0.2945	0.4975	210000
	S[3,45]	0.2922	0.1659	0.002531	0.2884	0.4964	210000
	S[3,46]	0.2878	0.1657	0.002531	0.2824	0.4869	210000
	S[3,47]	0.2836	0.1656	0.002531	0.2765	0.481	210000
	S[3,48]	0.2794	0.1655	0.002531	0.2709	0.4743	210000
	S[3,49]	0.2753	0.1655	0.002531	0.2652	0.4715	210000
	S[3,50]	0.2714	0.1655	0.002531	0.2597	0.4693	210000
	S[3,51]	0.2675	0.1655	0.002531	0.2543	0.4624	210000
	S[3,52]	0.2637	0.1656	0.002531	0.2491	0.4583	210000
	S[3,53]	0.26	0.1657	0.002531	0.244	0.4552	210000
	S[3,54]	0.2564	0.1658	0.002531	0.239	0.4515	210000
	S[3,55]	0.2529	0.1659	0.002531	0.2342	0.4448	210000
	S[3,56]	0.2494	0.1661	0.002531	0.2294	0.4431	210000
	S[3,57]	0.246	0.1662	0.002531	0.2248	0.4403	210000
	S[3,58]	0.2427	0.1664	0.002531	0.2204	0.4359	210000
	S[3,59]	0.2395	0.1666	0.00253	0.2159	0.4328	210000
	S[3,60]	0.2364	0.1668	0.00253	0.2117	0.4281	210000
