Results - 30,000 burn in 70,000 iterations, seed 385916
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[2,27]	0.3523	0.0523	0.2424	0.3546	0.4483	210000
	S[2,28]	0.3412	0.05136	0.234	0.3431	0.4362	210000
	S[2,29]	0.3304	0.05045	0.2261	0.332	0.4246	210000
	S[2,30]	0.32	0.04958	0.2181	0.3213	0.4134	210000
	S[2,31]	0.3099	0.04874	0.2105	0.311	0.4023	210000
	S[2,32]	0.3002	0.04794	0.2032	0.301	0.3916	210000
	S[2,33]	0.2908	0.04716	0.1961	0.2914	0.3813	210000
	S[2,34]	0.2817	0.04641	0.1891	0.2821	0.3712	210000
	S[2,35]	0.2728	0.04567	0.1824	0.2731	0.3614	210000
	S[2,36]	0.2643	0.04496	0.1761	0.2644	0.3521	210000
	S[2,37]	0.2561	0.04427	0.1697	0.256	0.343	210000
	S[2,38]	0.2481	0.0436	0.1637	0.2478	0.3342	210000
	S[2,39]	0.2404	0.04294	0.1577	0.24	0.3256	210000
	S[2,40]	0.2329	0.0423	0.152	0.2323	0.3172	210000
	S[2,41]	0.2257	0.04167	0.1463	0.225	0.3091	210000
	S[2,42]	0.2187	0.04105	0.1409	0.2179	0.3012	210000
	S[2,43]	0.212	0.04044	0.1358	0.211	0.2935	210000
	S[2,44]	0.2054	0.03984	0.1307	0.2043	0.286	210000
	S[2,45]	0.1991	0.03925	0.1258	0.1979	0.2787	210000
	S[2,46]	0.1929	0.03867	0.1211	0.1917	0.2717	210000
	S[2,47]	0.187	0.0381	0.1165	0.1857	0.2648	210000
	S[2,48]	0.1812	0.03754	0.112	0.1799	0.2582	210000
	S[2,49]	0.1757	0.03698	0.1077	0.1742	0.2517	210000
	S[2,50]	0.1703	0.03643	0.1036	0.1688	0.2454	210000
	S[2,51]	0.1651	0.03588	0.0996	0.1635	0.2393	210000
	S[2,52]	0.16	0.03534	0.09581	0.1584	0.2334	210000
	S[2,53]	0.1551	0.03481	0.09209	0.1535	0.2276	210000
	S[2,54]	0.1504	0.03428	0.08851	0.1486	0.2219	210000
	S[2,55]	0.1458	0.03376	0.08503	0.144	0.2165	210000
	S[2,56]	0.1413	0.03324	0.08171	0.1396	0.2111	210000
	S[2,57]	0.137	0.03273	0.07857	0.1352	0.206	210000
	S[2,58]	0.1329	0.03222	0.07553	0.131	0.2008	210000
	S[2,59]	0.1288	0.03172	0.0726	0.1269	0.1959	210000
	S[2,60]	0.1249	0.03122	0.06977	0.123	0.1911	210000
	S[2,61]	0.1211	0.03073	0.06705	0.1192	0.1864	210000
	S[2,62]	0.1174	0.03024	0.06444	0.1154	0.1819	210000
	S[2,63]	0.1139	0.02975	0.06189	0.1119	0.1774	210000
	S[2,64]	0.1104	0.02927	0.05951	0.1084	0.1731	210000
	S[2,65]	0.1071	0.0288	0.05711	0.105	0.1689	210000
	S[2,66]	0.1039	0.02833	0.05487	0.1018	0.1648	210000
	S[2,67]	0.1007	0.02787	0.05267	0.09862	0.1608	210000
	S[2,68]	0.0977	0.02741	0.05058	0.09557	0.1569	210000
	S[2,69]	0.09476	0.02695	0.04858	0.09261	0.1531	210000
	S[2,70]	0.09191	0.0265	0.04664	0.08973	0.1494	210000
	S[2,71]	0.08914	0.02606	0.04479	0.08697	0.1459	210000
	S[2,72]	0.08647	0.02561	0.04302	0.08429	0.1424	210000
	S[2,73]	0.08387	0.02518	0.04128	0.08169	0.139	210000
	S[2,74]	0.08136	0.02475	0.03963	0.07917	0.1356	210000
	S[2,75]	0.07892	0.02432	0.03803	0.07673	0.1324	210000
	S[2,76]	0.07656	0.0239	0.03649	0.07438	0.1292	210000
	S[2,77]	0.07427	0.02349	0.03502	0.07208	0.1261	210000
	S[2,78]	0.07205	0.02308	0.03359	0.06985	0.1231	210000
	S[2,79]	0.0699	0.02267	0.03222	0.0677	0.1202	210000
	S[2,80]	0.06781	0.02227	0.03095	0.06563	0.1173	210000
	S[2,81]	0.06579	0.02187	0.02969	0.0636	0.1145	210000
	S[2,82]	0.06383	0.02148	0.02849	0.06164	0.1117	210000
	S[2,83]	0.06193	0.0211	0.02734	0.05974	0.1091	210000
	S[2,84]	0.06009	0.02072	0.02625	0.0579	0.1065	210000
	S[2,85]	0.05831	0.02034	0.02519	0.05612	0.104	210000
	S[2,86]	0.05658	0.01997	0.02416	0.0544	0.1015	210000
	S[2,87]	0.0549	0.01961	0.02319	0.05273	0.09903	210000
	S[2,88]	0.05327	0.01925	0.02226	0.0511	0.09668	210000
	S[2,89]	0.0517	0.01889	0.02133	0.04952	0.0944	210000
	S[2,90]	0.05017	0.01854	0.02045	0.048	0.09219	210000
	S[2,91]	0.04868	0.0182	0.01961	0.04653	0.09	210000
	S[2,92]	0.04725	0.01786	0.01881	0.04511	0.08788	210000
	S[2,93]	0.04585	0.01753	0.01804	0.04372	0.08581	210000
	S[2,94]	0.0445	0.0172	0.0173	0.04238	0.08379	210000
	S[2,95]	0.04319	0.01687	0.0166	0.04107	0.08183	210000
	S[2,96]	0.04192	0.01655	0.01593	0.03981	0.07992	210000
	S[2,97]	0.04068	0.01624	0.01527	0.03858	0.07803	210000
	S[2,98]	0.03949	0.01593	0.01464	0.0374	0.0762	210000
	S[2,99]	0.03833	0.01562	0.01404	0.03625	0.07443	210000
	S[2,100]	0.0372	0.01532	0.01347	0.03513	0.07268	210000
	S[2,101]	0.03611	0.01503	0.01292	0.03405	0.07098	210000
	S[2,102]	0.03505	0.01474	0.01238	0.033	0.06931	210000
	S[2,103]	0.03403	0.01445	0.01187	0.03199	0.06768	210000
	S[2,104]	0.03303	0.01417	0.01138	0.03101	0.0661	210000
	S[2,105]	0.03207	0.0139	0.0109	0.03005	0.06458	210000
	S[2,106]	0.03113	0.01362	0.01046	0.02913	0.06305	210000
	S[2,107]	0.03022	0.01336	0.01003	0.02823	0.06157	210000
	S[2,108]	0.02934	0.0131	0.009623	0.02737	0.06016	210000
	S[2,109]	0.02848	0.01284	0.009233	0.02653	0.05876	210000
	S[2,110]	0.02765	0.01258	0.008853	0.02572	0.0574	210000
	S[2,111]	0.02685	0.01233	0.008485	0.02493	0.05608	210000
	S[2,112]	0.02607	0.01209	0.00814	0.02417	0.05477	210000
	S[2,113]	0.02531	0.01185	0.007791	0.02343	0.05351	210000
	S[2,114]	0.02458	0.01161	0.00746	0.02271	0.05224	210000
	S[2,115]	0.02386	0.01138	0.00715	0.02201	0.05102	210000
	S[2,116]	0.02317	0.01115	0.00685	0.02134	0.04983	210000
	S[2,117]	0.0225	0.01093	0.006565	0.02069	0.04869	210000
	S[2,118]	0.02185	0.01071	0.006291	0.02005	0.04755	210000
	S[2,119]	0.02122	0.01049	0.006027	0.01944	0.04644	210000
	S[2,120]	0.0206	0.01028	0.005775	0.01885	0.04536	210000
	S[3,1]	0.9185	0.05501	0.7762	0.9323	0.9819	210000
	S[3,2]	0.8807	0.0627	0.7223	0.8947	0.9598	210000
	S[3,3]	0.8508	0.0651	0.6887	0.8643	0.9368	210000
	S[3,4]	0.8245	0.06571	0.6621	0.8373	0.9139	210000
	S[3,5]	0.8002	0.06551	0.6397	0.8125	0.8914	210000
	S[3,6]	0.7774	0.06488	0.6193	0.7891	0.8695	210000
	S[3,7]	0.7559	0.06403	0.6008	0.7669	0.8483	210000
	S[3,8]	0.7352	0.06307	0.5837	0.7456	0.8277	210000
	S[3,9]	0.7155	0.06205	0.5676	0.7253	0.8078	210000
	S[3,10]	0.6964	0.06102	0.5518	0.7056	0.7888	210000
	S[3,11]	0.6781	0.06001	0.5369	0.6867	0.7703	210000
	S[3,12]	0.6604	0.05904	0.5224	0.6684	0.7525	210000
	S[3,13]	0.6432	0.05811	0.5083	0.6506	0.7353	210000
	S[3,14]	0.6266	0.05724	0.4949	0.6334	0.7186	210000
	S[3,15]	0.6105	0.05642	0.4818	0.6168	0.7026	210000
	S[3,16]	0.5949	0.05565	0.469	0.6007	0.687	210000
	S[3,17]	0.5797	0.05495	0.4566	0.585	0.672	210000
	S[3,18]	0.565	0.05429	0.4445	0.5699	0.6572	210000
	S[3,19]	0.5507	0.05369	0.4326	0.5551	0.643	210000
	S[3,20]	0.5368	0.05313	0.4212	0.5408	0.6292	210000
	S[3,21]	0.5233	0.05263	0.4096	0.5269	0.616	210000
	S[3,22]	0.5102	0.05216	0.3983	0.5134	0.603	210000
	S[3,23]	0.4974	0.05173	0.3874	0.5003	0.5902	210000
	S[3,24]	0.485	0.05133	0.3766	0.4877	0.5778	210000
	S[3,25]	0.4729	0.05096	0.3663	0.4753	0.5657	210000
	S[3,26]	0.4611	0.05062	0.3561	0.4633	0.5541	210000
	S[3,27]	0.4497	0.0503	0.3461	0.4515	0.5428	210000
	S[3,28]	0.4386	0.05001	0.3362	0.4401	0.5317	210000
	S[3,29]	0.4277	0.04973	0.3267	0.4291	0.5209	210000
	S[3,30]	0.4172	0.04946	0.3173	0.4183	0.5105	210000
	S[3,31]	0.4069	0.04921	0.3079	0.4078	0.5001	210000
	S[3,32]	0.3969	0.04896	0.2989	0.3976	0.4902	210000
	S[3,33]	0.3871	0.04873	0.2901	0.3876	0.4804	210000
	S[3,34]	0.3776	0.04849	0.2815	0.3779	0.4708	210000
	S[3,35]	0.3684	0.04827	0.2733	0.3685	0.4614	210000
	S[3,36]	0.3593	0.04804	0.265	0.3594	0.4523	210000
	S[3,37]	0.3506	0.04781	0.257	0.3505	0.4435	210000
	S[3,38]	0.342	0.04759	0.2493	0.3418	0.4349	210000
	S[3,39]	0.3337	0.04736	0.2417	0.3334	0.4264	210000
	S[3,40]	0.3255	0.04713	0.2344	0.3252	0.4181	210000
	S[3,41]	0.3176	0.0469	0.2272	0.3172	0.4101	210000
	S[3,42]	0.3099	0.04666	0.2202	0.3094	0.4022	210000
	S[3,43]	0.3024	0.04642	0.2134	0.3018	0.3944	210000
	S[3,44]	0.2951	0.04618	0.2068	0.2944	0.3868	210000
	S[3,45]	0.2879	0.04593	0.2004	0.2871	0.3794	210000
	S[3,46]	0.281	0.04567	0.1942	0.2801	0.3721	210000
	S[3,47]	0.2742	0.04541	0.1883	0.2732	0.365	210000
	S[3,48]	0.2676	0.04515	0.1823	0.2665	0.358	210000
	S[3,49]	0.2611	0.04487	0.1767	0.26	0.3512	210000
	S[3,50]	0.2548	0.04459	0.1711	0.2536	0.3446	210000
	S[3,51]	0.2487	0.04431	0.1657	0.2474	0.3381	210000
	S[3,52]	0.2427	0.04402	0.1605	0.2414	0.3317	210000
	S[3,53]	0.2369	0.04372	0.1554	0.2355	0.3255	210000
	S[3,54]	0.2312	0.04342	0.1505	0.2298	0.3194	210000
	S[3,55]	0.2257	0.04312	0.1457	0.2242	0.3134	210000
	S[3,56]	0.2203	0.0428	0.1411	0.2187	0.3075	210000
	S[3,57]	0.215	0.04249	0.1366	0.2134	0.3018	210000
	S[3,58]	0.2099	0.04216	0.1322	0.2082	0.2962	210000
	S[3,59]	0.2048	0.04184	0.1279	0.2031	0.2907	210000
	S[3,60]	0.2	0.0415	0.1238	0.1982	0.2854	210000
	S[3,61]	0.1952	0.04117	0.1198	0.1934	0.2801	210000
	S[3,62]	0.1905	0.04083	0.116	0.1887	0.275	210000
	S[3,63]	0.186	0.04048	0.1123	0.1841	0.27	210000
	S[3,64]	0.1816	0.04013	0.1086	0.1796	0.2649	210000
	S[3,65]	0.1773	0.03978	0.1051	0.1753	0.26	210000
	S[3,66]	0.1731	0.03943	0.1017	0.171	0.2552	210000
	S[3,67]	0.169	0.03907	0.09841	0.1669	0.2505	210000
	S[3,68]	0.165	0.03871	0.09523	0.1629	0.2459	210000
	S[3,69]	0.1611	0.03835	0.09211	0.1589	0.2415	210000
