Results - 30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[2,62]	0.09824	0.03379	0.02067	0.0985	0.1641	210000
	S[2,63]	0.09487	0.03292	0.01996	0.09497	0.1594	210000
	S[2,64]	0.09162	0.03207	0.01927	0.09158	0.1549	210000
	S[2,65]	0.08848	0.03124	0.01862	0.08833	0.1505	210000
	S[2,66]	0.08545	0.03044	0.01797	0.08517	0.1462	210000
	S[2,67]	0.08252	0.02965	0.01741	0.08212	0.1421	210000
	S[2,68]	0.0797	0.02889	0.01682	0.0792	0.138	210000
	S[2,69]	0.07698	0.02815	0.01622	0.07637	0.1341	210000
	S[2,70]	0.07435	0.02743	0.01567	0.07365	0.1303	210000
	S[2,71]	0.07181	0.02672	0.01513	0.07103	0.1266	210000
	S[2,72]	0.06936	0.02604	0.01461	0.0685	0.123	210000
	S[2,73]	0.06699	0.02537	0.01412	0.06606	0.1195	210000
	S[2,74]	0.06471	0.02472	0.01364	0.06371	0.1161	210000
	S[2,75]	0.0625	0.02409	0.01315	0.06145	0.1129	210000
	S[2,76]	0.06037	0.02347	0.01269	0.05927	0.1097	210000
	S[2,77]	0.05832	0.02287	0.01224	0.05717	0.1066	210000
	S[2,78]	0.05634	0.02228	0.01183	0.05514	0.1036	210000
	S[2,79]	0.05442	0.02171	0.0114	0.05318	0.1007	210000
	S[2,80]	0.05257	0.02115	0.01097	0.05129	0.09784	210000
	S[2,81]	0.05079	0.02061	0.01059	0.04946	0.09509	210000
	S[2,82]	0.04906	0.02008	0.0102	0.0477	0.09239	210000
	S[2,83]	0.0474	0.01957	0.009858	0.046	0.0898	210000
	S[2,84]	0.04579	0.01907	0.009517	0.04436	0.08727	210000
	S[2,85]	0.04424	0.01858	0.009159	0.04279	0.0848	210000
	S[2,86]	0.04274	0.0181	0.008813	0.04127	0.08239	210000
	S[2,87]	0.04129	0.01764	0.008501	0.0398	0.08007	210000
	S[2,88]	0.0399	0.01718	0.008195	0.03839	0.07783	210000
	S[2,89]	0.03855	0.01674	0.007904	0.03702	0.07562	210000
	S[2,90]	0.03724	0.01631	0.00761	0.03571	0.07353	210000
	S[2,91]	0.03598	0.01589	0.007327	0.03444	0.07144	210000
	S[2,92]	0.03477	0.01548	0.007054	0.03321	0.06944	210000
	S[2,93]	0.0336	0.01509	0.006797	0.03204	0.06749	210000
	S[2,94]	0.03246	0.0147	0.006523	0.0309	0.06557	210000
	S[2,95]	0.03137	0.01432	0.00628	0.02981	0.06375	210000
	S[2,96]	0.03031	0.01395	0.006024	0.02875	0.06194	210000
	S[2,97]	0.02929	0.01359	0.005769	0.02773	0.06019	210000
	S[2,98]	0.02831	0.01324	0.005544	0.02675	0.05849	210000
	S[2,99]	0.02735	0.0129	0.005338	0.0258	0.05685	210000
	S[2,100]	0.02643	0.01257	0.005107	0.02489	0.05525	210000
	S[2,101]	0.02555	0.01224	0.004894	0.02401	0.05371	210000
	S[2,102]	0.02469	0.01192	0.004693	0.02316	0.05221	210000
	S[2,103]	0.02386	0.01162	0.004516	0.02233	0.05073	210000
	S[2,104]	0.02306	0.01132	0.004348	0.02154	0.0493	210000
	S[2,105]	0.02228	0.01102	0.004168	0.02077	0.04793	210000
	S[2,106]	0.02154	0.01074	0.003977	0.02004	0.04658	210000
	S[2,107]	0.02082	0.01046	0.003816	0.01933	0.04529	210000
	S[2,108]	0.02012	0.01019	0.003652	0.01865	0.04403	210000
	S[2,109]	0.01945	0.009924	0.003499	0.01799	0.0428	210000
	S[2,110]	0.0188	0.009666	0.003356	0.01735	0.04162	210000
	S[2,111]	0.01817	0.009415	0.003207	0.01674	0.04047	210000
	S[2,112]	0.01756	0.00917	0.003063	0.01615	0.03934	210000
	S[2,113]	0.01697	0.008932	0.002926	0.01558	0.03824	210000
	S[2,114]	0.01641	0.0087	0.00279	0.01502	0.03717	210000
	S[2,115]	0.01586	0.008473	0.002652	0.01449	0.03614	210000
	S[2,116]	0.01533	0.008252	0.002526	0.01397	0.03513	210000
	S[2,117]	0.01482	0.008037	0.002414	0.01348	0.03416	210000
